INFO 2025-04-21 15:55:05,944 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-21 15:55:05,946 autoreload Waiting for apps ready_event.
DEBUG 2025-04-21 15:55:05,965 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-04-21 15:55:05,983 autoreload Watching dir /home/karim/CREM_Webapp/templates with glob **/*.
DEBUG 2025-04-21 15:55:05,983 autoreload Watching dir /home/karim/CREM_Webapp/locale with glob **/*.mo.
DEBUG 2025-04-21 15:55:05,983 autoreload Watching dir /home/karim/CREM_Webapp/contact/locale with glob **/*.mo.
DEBUG 2025-04-21 15:55:05,983 autoreload Watching dir /home/karim/CREM_Webapp/front_app/locale with glob **/*.mo.
DEBUG 2025-04-21 15:55:05,983 autoreload Watching dir /home/karim/CREM_Webapp/instrumentation/locale with glob **/*.mo.
DEBUG 2025-04-21 15:55:06,054 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-04-21 15:55:06,058 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-04-21 15:55:06,086 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/contrib/admin/__init__.py first seen with mtime 1741778993.5580328
DEBUG 2025-04-21 15:55:06,086 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/http/multipartparser.py first seen with mtime 1741778994.0500336
DEBUG 2025-04-21 15:55:06,086 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/utils/asyncio.py first seen with mtime 1741778994.0590336
DEBUG 2025-04-21 15:55:06,086 autoreload File /usr/lib/python3.10/stat.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,086 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/core/files/__init__.py first seen with mtime 1741778994.0060334
DEBUG 2025-04-21 15:55:06,086 autoreload File /usr/lib/python3.10/sysconfig.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,086 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/core/exceptions.py first seen with mtime 1741778994.0020335
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/CREM_Webapp/contact/views.py first seen with mtime 1744905431.7052162
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/asyncio/sslproto.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/datetime.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/asyncio/events.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/email/message.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/contrib/admin/utils.py first seen with mtime 1741778993.5610328
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/email/mime/multipart.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/contrib/auth/hashers.py first seen with mtime 1741778993.7010329
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/CREM_Webapp/front_app/admin.py first seen with mtime 1742568234.011488
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/core/files/utils.py first seen with mtime 1741778994.0070333
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/db/backends/signals.py first seen with mtime 1741778994.0170336
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/views/decorators/cache.py first seen with mtime 1741778994.0670335
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/template/loaders/filesystem.py first seen with mtime 1741778994.0550334
DEBUG 2025-04-21 15:55:06,087 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/core/handlers/__init__.py first seen with mtime 1741778994.0080335
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/contextvars.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,087 autoreload File /usr/lib/python3.10/os.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,088 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/middleware/csrf.py first seen with mtime 1741778994.0510335
DEBUG 2025-04-21 15:55:06,088 autoreload File /usr/lib/python3.10/lzma.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,088 autoreload File /usr/lib/python3.10/hmac.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,088 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/shortcuts.py first seen with mtime 1741778993.4780326
DEBUG 2025-04-21 15:55:06,088 autoreload File /usr/lib/python3.10/quopri.py first seen with mtime 1738681056.0
DEBUG 2025-04-21 15:55:06,088 autoreload File /home/karim/.local/lib/python3.10/site-packages/django/utils/deconstruct.py first seen with mtime 1741778994.0610335
